brand,subseries,모델,제품 시리즈,상태,센서 유형,크로마,스펙트럼,스펙트럼 범위,해상도,센서 모델,센서 아키텍처 (소재),셔터 유형,센서 크기,픽셀 크기,센서 비트 심도,모노크롬 픽셀 형식,최대 프레임 속도,비절연 라인,광절연 라인,전원 공급 장치,전력 소비,작동 온도 (하우징),본체 치수 (L x W x H mm),렌즈 마운트,무게,이미지 버퍼 (RAM),비휘발성 메모리 (플래시),디지털 인터페이스,YUV 픽셀 형식,RGB 픽셀 형식,베이어 픽셀 형식,양자 효율 @ 529 nm,비전 표준,양자 효율 @ 850 nm,노출 시간,게인,I/O 커넥터,특정 비절연 라인,제품 코드,필터/보호 유리,IP 등급,인터페이스 커넥터,노출 모드,게인 모드,이미지 제어 기능,트리거 모드/동기화,카메라 제어 기능,화이트 밸런스 모드,다이나믹 레인지,SNR,최대 프레임 속도 (버스트),최대 프레임 속도 ROI 모드,데이터 형식,최대 라인 속도 (트리리니어),최대 라인 속도 (단일 라인),최대 라인 속도 (쿼드리니어),사용자 데이터 메모리
Allied Vision,alvium-gm2,Alvium GM2-050,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,800 × 600 (0.50 MP),ON Semi PYTHON 480,CMOS,Global Shutter,4.9 mm ø (Type 1/3.6),4.80 µm × 4.80 µm,10,"RAW8, RAW10, RAW12, GREY, Y10, Y12",,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 MByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YUV422 8-bit, UYVY","RGB888 (default), RGB3",,53 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-052,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,816 × 624 (0.50 MP),Sony IMX426,CMOS,Global Shutter,9.33 mm ø (Type 1/1.7),9.00 µm × 9.00 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",73 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-120,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,280 × 960 (1.20 MP)",ON Semi AR0135CS,CMOS,Global Shutter,6.09 mm ø (Type 1/3),3.75 µm × 3.75 µm,12,"RAW8, RAW10, RAW12, GREY, Y10, Y12",,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 MByte,1024 KByte,"FPD-Link III, based on MIPI CSI-2, up to 4 lanes","YUV422 8-bit, UYVY","RGB888 (default), RGB3",,69 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-1236,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,112 × 3,008 (12.40 MP)",Sony IMX304,CMOS,Global Shutter,17.6 mm ø (Type 1.1),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,C-Mount,70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",64 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-1240,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,024 × 3,032 (12.20 MP)",Sony IMX226,CMOS,"Global Reset Shutter, Rolling Shutter",9.33 mm ø (Type 1/1.7),1.85 µm × 1.85 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),26 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",74 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-1242,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,128 × 3,008 (12.40 MP)",Sony IMX545,CMOS,Global Shutter,14 mm ø (Type 1/1.1),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",68 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-130 VSWIR,Alvium GM2,Available,Area scan,Mono,"SWIR, Visible SWIR",400 nm to 1700 nm,"1,296 × 1,032 (1.30 MP)",Sony IMX990 | InGaAs,InGaAs,Global Shutter,8.15 mm ø (Type 1/2),5.00 µm × 5.00 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8 (default), Mono10, Mono10p, Mono12, Mono12p, RAW8 (default), RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes",,,,,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-158,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,456 × 1,088 (1.60 MP)",Sony IMX273,CMOS,Global Shutter,6.3 mm ø (Type 1/2.9),3.45 µm × 3.45 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",64 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-1620,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"5,328 × 3,040 (16.20 MP)",Sony IMX542,CMOS,Global Shutter,17.6 mm ø (Type 1.1),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",68 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-203,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,632 × 1,248 (2.00 MP)",Sony IMX422,CMOS,Global Shutter,9.33 mm ø (Type 1/1.7),4.50 µm × 4.50 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-2040,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,512 × 4,512 (20.40 MP)",Sony IMX541,CMOS,Global Shutter,17.6 mm ø (Type 1.1),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",68 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-2050,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"5,376 × 3,672 (19.70 MP)",Sony IMX183,CMOS,"Global Reset Shutter, Rolling Shutter",16.3 mm ø (Type 1),2.40 µm × 2.40 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,C-Mount,70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",80 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-210,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,928 × 1,088 (2.10 MP)",ON Semi AR0521SR (HD mode),CMOS,Rolling Shutter,4.9 mm ø (Type 1/3.6),2.20 µm × 2.20 µm,10-bit,"RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YUV422 8-bit, UYVY","RGB888 (default), RGB3",,79 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-234,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,936 × 1,216 (2.40 MP)",Sony IMX249,CMOS,Global Shutter,13.4 mm ø (Type 1/1.2),5.86 µm × 5.86 µm,"10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-235,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,936 × 1,216 (2.40 MP)",Sony IMX174,CMOS,Global Shutter,13.4 mm ø (Type 1/1.2),5.86 µm × 5.86 µm,"10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-240,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,936 × 1,216 (2.40 MP)",Sony IMX392,CMOS,Global Shutter,7.9 mm ø (Type 1/2.3),3.45 µm × 3.45 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",64 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-2460,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"5,328 × 4,608 (24.60 MP)",Sony IMX540,CMOS,Global Shutter,21.43 mm ø (Type 1.2),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",68 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-291,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,944 × 1,472 (2.90 MP)",Sony IMX421,CMOS,Global Shutter,12.75 mm ø (Type 2/3),4.50 µm × 4.50 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",73 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-319,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,064 × 1,544 (3.20 MP)",Sony IMX265,CMOS,Global Shutter,9 mm ø (Type 1/1.8),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",64 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-320 VSWIR,Alvium GM2,Prototype/engineering sample,Area scan,Mono,"SWIR, Visible SWIR",400 nm to 1700 nm,"2,080 × 1,544 (3.20 MP)",Sony IMX993 | InGaAs,InGaAs,Global Shutter,9 mm ø (Type 1/1.8),3.45 µm × 3.45 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes",,,,,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-500,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,592 × 1,944 (5.00 MP)",ON Semi AR0521SR,CMOS,Rolling Shutter,7.13 mm ø (Type 1/2.5),2.20 µm × 2.20 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",79 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-501 NIR,Alvium GM2,Available,Area scan,Mono or Color,Visible-NIR,300 nm to 1100 nm,"2,592 × 1,944 (5.00 MP)",ON Semi AR0522,CMOS,Rolling Shutter,7.13 mm ø (Type 1/2.5),2.20 µm × 2.20 µm,10-bit,"RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YUV422 8-bit, UYVY","RGB888 (default), RGB3",,84 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-507,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,056 (5.10 MP)",Sony IMX264,CMOS,Global Shutter,12.75 mm ø (Type 2/3),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",64 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-507 Pol,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,056 (5.10 MP)",Sony IMX264 Polarizer,CMOS,Global Shutter,12.75 mm ø (Type 2/3),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes",,,"BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-508,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,056 (5.10 MP)",Sony IMX250,CMOS,Global Shutter,12.75 mm ø (Type 2/3),3.45 µm × 3.45 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",64 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-508 Pol,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,056 (5.10 MP)",Sony IMX250 Polarizer,CMOS,Global Shutter,12.75 mm ø (Type 2/3),3.45 µm × 3.45 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes",,,"BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-gm2,Alvium GM2-510,Alvium GM2,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,064 (5.10 MP)",Sony IMX548,CMOS,Global Shutter,9 mm ø (Type 1/1.8),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, RAW8, RAW10, RAW12, GREY, Y10, Y12",Mainly depends on hardware and register settings.,2 programmable GPIOs,,5 VDC over MIPI CSI-2,Value for the integrated serializer adds to CSI-2 model value.,-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,256 KByte,1024 KByte,"GMSL2, based on MIPI CSI-2, up to 4 lanes","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr, YUV422 8-bit, UYVY","RGB8 (default), BGR8, RGB888 (default), RGB3","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p",68 %,,,,,"Coax, STP",,,,,,,,,,,,,,,,,,,,
